ROWHEADER,Test,ODI,T20,IPL,name
Matches,123.0,302.0,125.0,258.0,Virat Kohli
Innings,210.0,290.0,117.0,250.0,Virat Kohli
Runs,9230.0,14181.0,4188.0,8252.0,Virat Kohli
Balls,16608.0,15192.0,3056.0,6238.0,Virat Kohli
Highest,254.0,183.0,122.0,113.0,Virat Kohli
Average,46.85,57.88,48.7,39.11,Virat Kohli
SR,55.58,93.35,137.05,132.29,Virat Kohli
Not Out,13.0,45.0,31.0,39.0,Virat Kohli
Fours,1027.0,1325.0,369.0,725.0,Virat Kohli
Sixes,30.0,153.0,124.0,282.0,Virat Kohli
Ducks,15.0,16.0,7.0,10.0,Virat Kohli
50s,31.0,74.0,38.0,58.0,Virat Kohli
100s,30.0,51.0,1.0,8.0,Virat Kohli
200s,7.0,0.0,0.0,0.0,Virat Kohli
300s,0.0,0.0,0.0,0.0,Virat Kohli
400s,0.0,0.0,0.0,0.0,Virat Kohli
Matches,67.0,273.0,159.0,263.0,Rohit Sharma
Innings,116.0,265.0,151.0,258.0,Rohit Sharma
Runs,4302.0,11168.0,4231.0,6710.0,Rohit Sharma
Balls,7538.0,12034.0,3003.0,5111.0,Rohit Sharma
Highest,212.0,264.0,121.0,109.0,Rohit Sharma
Average,40.58,48.77,31.34,29.3,Rohit Sharma
SR,57.08,92.81,140.9,131.29,Rohit Sharma
Not Out,10.0,36.0,16.0,29.0,Rohit Sharma
Fours,473.0,1044.0,383.0,605.0,Rohit Sharma
Sixes,88.0,344.0,205.0,286.0,Rohit Sharma
Ducks,6.0,16.0,12.0,18.0,Rohit Sharma
50s,18.0,58.0,32.0,43.0,Rohit Sharma
100s,12.0,32.0,5.0,2.0,Rohit Sharma
200s,1.0,3.0,0.0,0.0,Rohit Sharma
300s,0.0,0.0,0.0,0.0,Rohit Sharma
400s,0.0,0.0,0.0,0.0,Rohit Sharma
Matches,34.0,167.0,68.0,222.0,Shikhar Dhawan
Innings,58.0,164.0,66.0,221.0,Shikhar Dhawan
Runs,2315.0,6793.0,1759.0,6768.0,Shikhar Dhawan
Balls,3458.0,7436.0,1392.0,5324.0,Shikhar Dhawan
Highest,190.0,143.0,92.0,106.0,Shikhar Dhawan
Average,40.61,44.11,27.92,35.07,Shikhar Dhawan
SR,66.95,91.36,126.37,127.13,Shikhar Dhawan
Not Out,1.0,10.0,3.0,28.0,Shikhar Dhawan
Fours,316.0,842.0,191.0,768.0,Shikhar Dhawan
Sixes,12.0,79.0,50.0,152.0,Shikhar Dhawan
Ducks,4.0,5.0,2.0,12.0,Shikhar Dhawan
50s,5.0,39.0,11.0,51.0,Shikhar Dhawan
100s,7.0,17.0,0.0,2.0,Shikhar Dhawan
200s,0.0,0.0,0.0,0.0,Shikhar Dhawan
300s,0.0,0.0,0.0,0.0,Shikhar Dhawan
400s,0.0,0.0,0.0,0.0,Shikhar Dhawan
Matches,32.0,55.0,21.0,109.0,Shubman Gill
Innings,59.0,55.0,21.0,106.0,Shubman Gill
Runs,1893.0,2775.0,578.0,3424.0,Shubman Gill
Balls,3159.0,2787.0,415.0,2509.0,Shubman Gill
Highest,128.0,208.0,126.0,129.0,Shubman Gill
Average,35.06,59.04,30.42,38.04,Shubman Gill
SR,59.93,99.57,139.28,136.47,Shubman Gill
Not Out,5.0,8.0,2.0,16.0,Shubman Gill
Fours,210.0,314.0,60.0,332.0,Shubman Gill
Sixes,31.0,59.0,22.0,101.0,Shubman Gill
Ducks,5.0,1.0,1.0,4.0,Shubman Gill
50s,7.0,15.0,3.0,22.0,Shubman Gill
100s,5.0,8.0,1.0,4.0,Shubman Gill
200s,0.0,1.0,0.0,0.0,Shubman Gill
300s,0.0,0.0,0.0,0.0,Shubman Gill
400s,0.0,0.0,0.0,0.0,Shubman Gill
Matches,14.0,70.0,51.0,121.0,Shreyas Iyer
Innings,24.0,65.0,47.0,121.0,Shreyas Iyer
Runs,811.0,2845.0,1104.0,3377.0,Shreyas Iyer
Balls,1287.0,2845.0,811.0,2575.0,Shreyas Iyer
Highest,105.0,128.0,74.0,97.0,Shreyas Iyer
Average,36.86,48.22,30.67,33.44,Shreyas Iyer
SR,63.02,100.0,136.13,131.15,Shreyas Iyer
Not Out,2.0,6.0,11.0,20.0,Shreyas Iyer
Fours,94.0,262.0,90.0,287.0,Shreyas Iyer
Sixes,16.0,72.0,44.0,133.0,Shreyas Iyer
Ducks,2.0,1.0,4.0,7.0,Shreyas Iyer
50s,5.0,22.0,8.0,24.0,Shreyas Iyer
100s,1.0,5.0,0.0,0.0,Shreyas Iyer
200s,0.0,0.0,0.0,0.0,Shreyas Iyer
300s,0.0,0.0,0.0,0.0,Shreyas Iyer
400s,0.0,0.0,0.0,0.0,Shreyas Iyer
Matches,0.0,29.0,39.0,172.0,Manish Pandey
Innings,0.0,24.0,33.0,160.0,Manish Pandey
Runs,0.0,566.0,709.0,3869.0,Manish Pandey
Balls,0.0,625.0,562.0,3193.0,Manish Pandey
Highest,0.0,104.0,79.0,114.0,Manish Pandey
Average,0.0,33.29,44.31,29.09,Manish Pandey
SR,0.0,90.56,126.16,121.18,Manish Pandey
Not Out,0.0,7.0,17.0,27.0,Manish Pandey
Fours,0.0,45.0,49.0,336.0,Manish Pandey
Sixes,0.0,5.0,19.0,111.0,Manish Pandey
Ducks,0.0,2.0,2.0,14.0,Manish Pandey
50s,0.0,2.0,3.0,22.0,Manish Pandey
100s,0.0,1.0,0.0,1.0,Manish Pandey
200s,0.0,0.0,0.0,0.0,Manish Pandey
300s,0.0,0.0,0.0,0.0,Manish Pandey
400s,0.0,0.0,0.0,0.0,Manish Pandey
Matches,21.0,5.0,0.0,127.0,Mayank Agarawal
Innings,36.0,5.0,0.0,121.0,Mayank Agarawal
Runs,1488.0,86.0,0.0,2665.0,Mayank Agarawal
Balls,2782.0,83.0,0.0,2000.0,Mayank Agarawal
