ROWHEADER,Test,ODI,T20,IPL,name
Matches,123,302,125,258,Virat Kohli
Innings,11,50,13,26,Virat Kohli
Balls,175,662,152,251,Virat Kohli
Runs,84,680,204,368,Virat Kohli
Maidens,2,1,0,0,Virat Kohli
Wickets,0,5,4,4,Virat Kohli
Avg,0.0,136.0,51.0,92.0,Virat Kohli
Eco,2.88,6.16,8.05,8.8,Virat Kohli
SR,0.0,132.4,38.0,62.75,Virat Kohli
BBI,0/0,1/13,1/13,2/25,Virat Kohli
BBM,0/0,1/13,1/13,2/25,Virat Kohli
4w,0,0,0,0,Virat Kohli
5w,0,0,0,0,Virat Kohli
10w,0,0,0,0,Virat Kohli
Matches,67,273,159,263,Rohit Sharma
Innings,16,40,9,32,Rohit Sharma
Balls,383,610,68,339,Rohit Sharma
Runs,224,533,113,453,Rohit Sharma
Maidens,5,2,0,0,Rohit Sharma
Wickets,2,9,1,15,Rohit Sharma
Avg,112.0,59.22,113.0,30.2,Rohit Sharma
Eco,3.51,5.24,9.97,8.02,Rohit Sharma
SR,191.5,67.78,68.0,22.6,Rohit Sharma
BBI,1/26,2/27,1/22,4/6,Rohit Sharma
BBM,1/35,2/27,1/22,4/6,Rohit Sharma
4w,0,0,0,1,Rohit Sharma
5w,0,0,0,0,Rohit Sharma
10w,0,0,0,0,Rohit Sharma
Matches,34,167,68,222,Shikhar Dhawan
Innings,5,0,0,6,Shikhar Dhawan
Balls,54,0,0,48,Shikhar Dhawan
Runs,18,0,0,66,Shikhar Dhawan
Maidens,2,0,0,0,Shikhar Dhawan
Wickets,0,0,0,4,Shikhar Dhawan
Avg,0.0,0.0,0.0,16.5,Shikhar Dhawan
Eco,2,0,0,8.25,Shikhar Dhawan
SR,0.0,0.0,0.0,12.0,Shikhar Dhawan
BBI,0/0,-/-,-/-,1/7,Shikhar Dhawan
BBM,0/0,-/-,-/-,1/7,Shikhar Dhawan
4w,0,0,0,0,Shikhar Dhawan
5w,0,0,0,0,Shikhar Dhawan
10w,0,0,0,0,Shikhar Dhawan
Matches,32,55,21,109,Shubman Gill
Innings,1,2,0,0,Shubman Gill
Balls,7,18,0,0,Shubman Gill
Runs,1,25,0,0,Shubman Gill
Maidens,0,0,0,0,Shubman Gill
Wickets,0,0,0,0,Shubman Gill
Avg,0.0,0.0,0.0,0.0,Shubman Gill
Eco,0.86,8.33,0,0,Shubman Gill
SR,0.0,0.0,0.0,0.0,Shubman Gill
BBI,0/1,0/11,-/-,-/-,Shubman Gill
BBM,0/1,0/11,-/-,-/-,Shubman Gill
4w,0,0,0,0,Shubman Gill
5w,0,0,0,0,Shubman Gill
10w,0,0,0,0,Shubman Gill
Matches,14,70,51,121,Shreyas Iyer
