ROWHEADER,Test,ODI,T20,IPL,name,country
Matches,123,302,125,258,Virat Kohli,India
Innings,210,290,117,250,Virat Kohli,India
Runs,9230,14181,4188,8252,Virat Kohli,India
Balls,16608,15192,3056,6238,Virat Kohli,India
Highest,254,183,122,113,Virat Kohli,India
Average,46.85,57.88,48.7,39.11,Virat Kohli,India
SR,55.58,93.35,137.05,132.29,Virat Kohli,India
Not Out,13,45,31,39,Virat Kohli,India
Fours,1027,1325,369,725,Virat Kohli,India
Sixes,30,153,124,282,Virat Kohli,India
Ducks,15,16,7,10,Virat Kohli,India
50s,31,74,38,58,Virat Kohli,India
100s,30,51,1,8,Virat Kohli,India
200s,7,0,0,0,Virat Kohli,India
300s,0,0,0,0,Virat Kohli,India
400s,0,0,0,0,Virat Kohli,India
Matches,67,273,159,263,Rohit Sharma,India
Innings,116,265,151,258,Rohit Sharma,India
Runs,4302,11168,4231,6710,Rohit Sharma,India
Balls,7538,12034,3003,5111,Rohit Sharma,India
Highest,212,264,121,109,Rohit Sharma,India
Average,40.58,48.77,31.34,29.3,Rohit Sharma,India
SR,57.08,92.81,140.9,131.29,Rohit Sharma,India
Not Out,10,36,16,29,Rohit Sharma,India
Fours,473,1044,383,605,Rohit Sharma,India
Sixes,88,344,205,286,Rohit Sharma,India
Ducks,6,16,12,18,Rohit Sharma,India
50s,18,58,32,43,Rohit Sharma,India
100s,12,32,5,2,Rohit Sharma,India
200s,1,3,0,0,Rohit Sharma,India
300s,0,0,0,0,Rohit Sharma,India
400s,0,0,0,0,Rohit Sharma,India
Matches,34,167,68,222,Shikhar Dhawan,India
Innings,58,164,66,221,Shikhar Dhawan,India
Runs,2315,6793,1759,6768,Shikhar Dhawan,India
Balls,3458,7436,1392,5324,Shikhar Dhawan,India
Highest,190,143,92,106,Shikhar Dhawan,India
Average,40.61,44.11,27.92,35.07,Shikhar Dhawan,India
SR,66.95,91.36,126.37,127.13,Shikhar Dhawan,India
Not Out,1,10,3,28,Shikhar Dhawan,India
Fours,316,842,191,768,Shikhar Dhawan,India
Sixes,12,79,50,152,Shikhar Dhawan,India
Ducks,4,5,2,12,Shikhar Dhawan,India
50s,5,39,11,51,Shikhar Dhawan,India
100s,7,17,0,2,Shikhar Dhawan,India
200s,0,0,0,0,Shikhar Dhawan,India
300s,0,0,0,0,Shikhar Dhawan,India
400s,0,0,0,0,Shikhar Dhawan,India
Matches,32,55,21,109,Shubman Gill,India
Innings,59,55,21,106,Shubman Gill,India
Runs,1893,2775,578,3424,Shubman Gill,India
Balls,3159,2787,415,2509,Shubman Gill,India
Highest,128,208,126,129,Shubman Gill,India
Average,35.06,59.04,30.42,38.04,Shubman Gill,India
SR,59.93,99.57,139.28,136.47,Shubman Gill,India
Not Out,5,8,2,16,Shubman Gill,India
Fours,210,314,60,332,Shubman Gill,India
Sixes,31,59,22,101,Shubman Gill,India
Ducks,5,1,1,4,Shubman Gill,India
50s,7,15,3,22,Shubman Gill,India
100s,5,8,1,4,Shubman Gill,India
200s,0,1,0,0,Shubman Gill,India
300s,0,0,0,0,Shubman Gill,India
400s,0,0,0,0,Shubman Gill,India
Matches,14,70,51,121,Shreyas Iyer,India
Innings,24,65,47,121,Shreyas Iyer,India
Runs,811,2845,1104,3377,Shreyas Iyer,India
Balls,1287,2845,811,2575,Shreyas Iyer,India
Highest,105,128,74,97,Shreyas Iyer,India
Average,36.86,48.22,30.67,33.44,Shreyas Iyer,India
SR,63.02,100,136.13,131.15,Shreyas Iyer,India
Not Out,2,6,11,20,Shreyas Iyer,India
Fours,94,262,90,287,Shreyas Iyer,India
Sixes,16,72,44,133,Shreyas Iyer,India
Ducks,2,1,4,7,Shreyas Iyer,India
50s,5,22,8,24,Shreyas Iyer,India
100s,1,5,0,0,Shreyas Iyer,India
200s,0,0,0,0,Shreyas Iyer,India
300s,0,0,0,0,Shreyas Iyer,India
400s,0,0,0,0,Shreyas Iyer,India
Matches,0,29,39,172,Manish Pandey,India
Innings,0,24,33,160,Manish Pandey,India
Runs,0,566,709,3869,Manish Pandey,India
Balls,0,625,562,3193,Manish Pandey,India
Highest,0,104,79,114,Manish Pandey,India
Average,0,33.29,44.31,29.09,Manish Pandey,India
SR,0,90.56,126.16,121.18,Manish Pandey,India
Not Out,0,7,17,27,Manish Pandey,India
Fours,0,45,49,336,Manish Pandey,India
Sixes,0,5,19,111,Manish Pandey,India
Ducks,0,2,2,14,Manish Pandey,India
50s,0,2,3,22,Manish Pandey,India
100s,0,1,0,1,Manish Pandey,India
200s,0,0,0,0,Manish Pandey,India
300s,0,0,0,0,Manish Pandey,India
400s,0,0,0,0,Manish Pandey,India
Matches,21,5,0,127,Mayank Agarawal,India
Innings,36,5,0,121,Mayank Agarawal,India
Runs,1488,86,0,2665,Mayank Agarawal,India
Balls,2782,83,0,2000,Mayank Agarawal,India
Highest,243,32,0,106,Mayank Agarawal,India
Average,41.33,17.2,0,22.78,Mayank Agarawal,India
SR,53.49,103.62,0,133.25,Mayank Agarawal,India
Not Out,0,0,0,4,Mayank Agarawal,India
Fours,189,12,0,264,Mayank Agarawal,India
Sixes,28,1,0,98,Mayank Agarawal,India
Ducks,1,0,0,7,Mayank Agarawal,India
50s,6,0,0,13,Mayank Agarawal,India
100s,4,0,0,1,Mayank Agarawal,India
200s,2,0,0,0,Mayank Agarawal,India
300s,0,0,0,0,Mayank Agarawal,India
400s,0,0,0,0,Mayank Agarawal,India
Matches,5,6,1,79,Prithvi Shaw,India
Innings,9,6,1,79,Prithvi Shaw,India
Runs,339,189,0,1892,Prithvi Shaw,India
Balls,394,166,1,1283,Prithvi Shaw,India
Highest,134,49,0,99,Prithvi Shaw,India
Average,42.38,31.5,0,23.95,Prithvi Shaw,India
SR,86.05,113.86,0,147.47,Prithvi Shaw,India
Not Out,1,0,0,0,Prithvi Shaw,India
Fours,48,32,0,238,Prithvi Shaw,India
Sixes,2,2,0,61,Prithvi Shaw,India
Ducks,1,0,1,7,Prithvi Shaw,India
50s,2,0,0,14,Prithvi Shaw,India
100s,1,0,0,0,Prithvi Shaw,India
200s,0,0,0,0,Prithvi Shaw,India
300s,0,0,0,0,Prithvi Shaw,India
400s,0,0,0,0,Prithvi Shaw,India
Matches,103,5,0,30,Cheteshwar Pujara,India
Innings,176,5,0,22,Cheteshwar Pujara,India
Runs,7195,51,0,390,Cheteshwar Pujara,India
Balls,16217,130,0,391,Cheteshwar Pujara,India
Highest,206,27,0,51,Cheteshwar Pujara,India
Average,43.61,10.2,0,20.53,Cheteshwar Pujara,India
SR,44.37,39.24,0,99.75,Cheteshwar Pujara,India
Not Out,11,0,0,3,Cheteshwar Pujara,India
Fours,863,4,0,50,Cheteshwar Pujara,India
Sixes,16,0,0,4,Cheteshwar Pujara,India
Ducks,12,2,0,1,Cheteshwar Pujara,India
