ROWHEADER,Test,ODI,T20,IPL,name,country
Matches,123,302,125,258,Virat Kohli,India
Innings,11,50,13,26,Virat Kohli,India
Balls,175,662,152,251,Virat Kohli,India
Runs,84,680,204,368,Virat Kohli,India
Maidens,2,1,0,0,Virat Kohli,India
Wickets,0,5,4,4,Virat Kohli,India
Avg,0,136,51,92,Virat Kohli,India
Eco,2.88,6.16,8.05,8.8,Virat Kohli,India
SR,0,132.4,38,62.75,Virat Kohli,India
BBI,0/0,Jan-13,Jan-13,Feb-25,Virat Kohli,India
BBM,0/0,Jan-13,Jan-13,Feb-25,Virat Kohli,India
4w,0,0,0,0,Virat Kohli,India
5w,0,0,0,0,Virat Kohli,India
10w,0,0,0,0,Virat Kohli,India
Matches,67,273,159,263,Rohit Sharma,India
Innings,16,40,9,32,Rohit Sharma,India
Balls,383,610,68,339,Rohit Sharma,India
Runs,224,533,113,453,Rohit Sharma,India
Maidens,5,2,0,0,Rohit Sharma,India
Wickets,2,9,1,15,Rohit Sharma,India
Avg,112,59.22,113,30.2,Rohit Sharma,India
Eco,3.51,5.24,9.97,8.02,Rohit Sharma,India
SR,191.5,67.78,68,22.6,Rohit Sharma,India
BBI,Jan-26,Feb-27,Jan-22,04-Jun,Rohit Sharma,India
BBM,Jan-35,Feb-27,Jan-22,04-Jun,Rohit Sharma,India
4w,0,0,0,1,Rohit Sharma,India
5w,0,0,0,0,Rohit Sharma,India
10w,0,0,0,0,Rohit Sharma,India
Matches,34,167,68,222,Shikhar Dhawan,India
Innings,5,0,0,6,Shikhar Dhawan,India
Balls,54,0,0,48,Shikhar Dhawan,India
Runs,18,0,0,66,Shikhar Dhawan,India
Maidens,2,0,0,0,Shikhar Dhawan,India
Wickets,0,0,0,4,Shikhar Dhawan,India
Avg,0,0,0,16.5,Shikhar Dhawan,India
Eco,2,0,0,8.25,Shikhar Dhawan,India
SR,0,0,0,12,Shikhar Dhawan,India
BBI,0/0,-/-,-/-,01-Jul,Shikhar Dhawan,India
BBM,0/0,-/-,-/-,01-Jul,Shikhar Dhawan,India
4w,0,0,0,0,Shikhar Dhawan,India
5w,0,0,0,0,Shikhar Dhawan,India
10w,0,0,0,0,Shikhar Dhawan,India
Matches,32,55,21,109,Shubman Gill,India
Innings,1,2,0,0,Shubman Gill,India
Balls,7,18,0,0,Shubman Gill,India
Runs,1,25,0,0,Shubman Gill,India
Maidens,0,0,0,0,Shubman Gill,India
Wickets,0,0,0,0,Shubman Gill,India
Avg,0,0,0,0,Shubman Gill,India
Eco,0.86,8.33,0,0,Shubman Gill,India
SR,0,0,0,0,Shubman Gill,India
BBI,0/1,0/11,-/-,-/-,Shubman Gill,India
BBM,0/1,0/11,-/-,-/-,Shubman Gill,India
4w,0,0,0,0,Shubman Gill,India
5w,0,0,0,0,Shubman Gill,India
10w,0,0,0,0,Shubman Gill,India
Matches,14,70,51,121,Shreyas Iyer,India
Innings,1,5,1,1,Shreyas Iyer,India
Balls,6,37,2,6,Shreyas Iyer,India
Runs,2,39,2,7,Shreyas Iyer,India
Maidens,0,0,0,0,Shreyas Iyer,India
Wickets,0,0,0,0,Shreyas Iyer,India
Avg,0,0,0,0,Shreyas Iyer,India
Eco,2,6.32,0,7,Shreyas Iyer,India
SR,0,0,0,0,Shreyas Iyer,India
BBI,0/2,0/1,0/2,0/7,Shreyas Iyer,India
BBM,0/2,0/1,0/2,0/7,Shreyas Iyer,India
4w,0,0,0,0,Shreyas Iyer,India
5w,0,0,0,0,Shreyas Iyer,India
10w,0,0,0,0,Shreyas Iyer,India
Matches,0,29,39,172,Manish Pandey,India
Innings,0,0,0,0,Manish Pandey,India
Balls,0,0,0,0,Manish Pandey,India
Runs,0,0,0,0,Manish Pandey,India
Maidens,0,0,0,0,Manish Pandey,India
Wickets,0,0,0,0,Manish Pandey,India
Avg,0,0,0,0,Manish Pandey,India
Eco,0,0,0,0,Manish Pandey,India
SR,0,0,0,0,Manish Pandey,India
BBI,-/-,-/-,-/-,-/-,Manish Pandey,India
BBM,-/-,-/-,-/-,-/-,Manish Pandey,India
4w,0,0,0,0,Manish Pandey,India
5w,0,0,0,0,Manish Pandey,India
10w,0,0,0,0,Manish Pandey,India
Matches,21,5,0,127,Mayank Agarawal,India
Innings,0,1,0,0,Mayank Agarawal,India
Balls,0,6,0,0,Mayank Agarawal,India
Runs,0,10,0,0,Mayank Agarawal,India
Maidens,0,0,0,0,Mayank Agarawal,India
Wickets,0,0,0,0,Mayank Agarawal,India
Avg,0,0,0,0,Mayank Agarawal,India
Eco,0,10,0,0,Mayank Agarawal,India
SR,0,0,0,0,Mayank Agarawal,India
BBI,-/-,0/10,-/-,-/-,Mayank Agarawal,India
BBM,-/-,0/10,-/-,-/-,Mayank Agarawal,India
4w,0,0,0,0,Mayank Agarawal,India
5w,0,0,0,0,Mayank Agarawal,India
10w,0,0,0,0,Mayank Agarawal,India
Matches,5,6,1,79,Prithvi Shaw,India
Innings,0,0,0,0,Prithvi Shaw,India
Balls,0,0,0,0,Prithvi Shaw,India
Runs,0,0,0,0,Prithvi Shaw,India
Maidens,0,0,0,0,Prithvi Shaw,India
Wickets,0,0,0,0,Prithvi Shaw,India
Avg,0,0,0,0,Prithvi Shaw,India
Eco,0,0,0,0,Prithvi Shaw,India
SR,0,0,0,0,Prithvi Shaw,India
BBI,-/-,-/-,-/-,-/-,Prithvi Shaw,India
BBM,-/-,-/-,-/-,-/-,Prithvi Shaw,India
4w,0,0,0,0,Prithvi Shaw,India
5w,0,0,0,0,Prithvi Shaw,India
10w,0,0,0,0,Prithvi Shaw,India
Matches,103,5,0,30,Cheteshwar Pujara,India
Innings,2,0,0,0,Cheteshwar Pujara,India
Balls,12,0,0,0,Cheteshwar Pujara,India
Runs,3,0,0,0,Cheteshwar Pujara,India
Maidens,0,0,0,0,Cheteshwar Pujara,India
Wickets,0,0,0,0,Cheteshwar Pujara,India
Avg,0,0,0,0,Cheteshwar Pujara,India
Eco,1.5,0,0,0,Cheteshwar Pujara,India
SR,0,0,0,0,Cheteshwar Pujara,India
